ACHIEVEMENTS,,,,,,,CRAFT MASTER,,,,,,POLYCULTURE,,
Name,Description,,Unlocks,,Complete,,Name,,Ingredients,Recipe Source,Complete,,Name,,Complete
,,,,,,,,Rain totem,"-Hardwood (1)
-Truffle oil (1)
-Pine tar (5)",Foraging level 9,FALSE,,,,
,,,,,,,,Recycling machine,"-Wood (25)
-Stone (25)
-Iron bar (1)",Fishing level 4,FALSE,,,,
,,,,,,,,Ring of Yoba,"-Gold bar (5)
-Iron bar (5)
-Diamond (1)",Combat level 7,FALSE,,,,
,,,,,,,,Scarecrow,"-Wood (50)
-Coal (1)
-Fiber (20)",Farming level 1,FALSE,,,,
,,,,,,,,Seed maker,"-Wood (25)
-Coal (10)
-Gold bar (1)",Farming level 9,FALSE,,,,
,,,,,,,,Skull brazier,"-Hardwood (10)
-Solar essence (1)
-Coal (1)",Carpenter's shop 3000g,FALSE,,,,
,,,,,,,,Slime Egg-Press,"-Coal (25)
-Fire quartz (1)
-Battery pack (1)",Combat level 6,FALSE,,,,
,,,,,,,,Slime incubator,"-Iridium bar (2)
-Slime (100)",Combat level 8,FALSE,,,,
,,,,,,,,Speed-gro (5),"-Pine tar (1)
-Clam (1)",Farming level 3,FALSE,,,,
,,,,,,,,Spinner,-Iron bar (2),Fishing level 6,FALSE,,,,
,,,,,,,,Sprinkler,"-Copper bar (1)
-Iron bar (1)",Farming level 2,FALSE,,,,
,,,,,,,,Staircase,-Stone (99),Mining level 2,FALSE,,,,
,,,,,,,,Stepping stone path,-Stone (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Stone Brazier,"-Stone (10)
-Coal (1)
-Fiber (5)",Carpenter's shop 400g,FALSE,,,,
,,,,,,,,Stone fence,-stone (2),Farming level 2,FALSE,,,,
,,,,,,,,Stone floor,-Stone (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Straw floor,"-Wood (1)
-Fiber (1)","Carpenter's shop 1,000g",FALSE,,,,
,,,,,,,,Stump brazier,"-Hardwood (5)
-Coal (1)",Carpenter's shop 800g,FALSE,,,,
,,,,,,,,Sturdy ring,"-Copper bar (10)
-Refined quartz (5)
-Earth crystal (10)",Combat level 1,FALSE,,,,
,,,,,,,,Tapper,"-Wood (40)
-Copper bar (2)",Foraging level 3,FALSE,,,,
,,,,,,,,Torch,"-Wood (1)
-Sap (2)",-,FALSE,,,,
,,,,,,,,Transmute (Au) / Gold Bar,-Iron bar (2),Mining level 7,FALSE,,,,
,,,,,,,,Transmute (Fe) / Iron Bar,-Copper bar (3),Mining level 4,FALSE,,,,
,,,,,,,,Trap bobber,"-Copper bar (1)
-Sap (10)",Fishing level 6,FALSE,,,,
,,,,,,,,Treasure hunter,-Gold bar (2),Fishing level 7,FALSE,,,,
,,,,,,,,Tub o' Flowers,"-Wood (15)
-Tulip bulb (1)
-Jazz seeds (1)
-Poppy seeds (1)
-Spangle seeds (1)","Pierre's stand at Flower Dance 2,000g",FALSE,,,,
,,,,,,,,Warp totem: Beach,"-Hardwood (1)
-Coral (2)
-Fiber (10)",Foraging level 6,FALSE,,,,
,,,,,,,,Warp totem: Farm,"-Hardwood (1)
-Honey (1)
-Fiber (20)",Foraging level 8,FALSE,,,,
,,,,,,,,Warp totem: Mountains,"-Hardwood (1)
-Iron bar (1)
-Stone (25)",Foraging level 7,FALSE,,,,
,,,,,,,,Warrior ring,"-Iron bar (10)
-Coal (25)
-Frozen tear (10)",Combat level 4,FALSE,,,,
,,,,,,,,Weathered floor,-Wood (1),Dwarf 500g,FALSE,,,,
,,,,,,,,Wicked statue,"-Stone (25)
-Coal (5)",Krobus 1000g,FALSE,,,,
,,,,,,,,Wild bait (5),"-Fiber (10)
-Bug meat (5)
-Slime (5)",Linus 4-heart event,FALSE,,,,
,,,,,,,,Wild Seeds (Fa),"-Common mushroom (1)
-Wild plum (1)
-Hazelnut (1)
-Blackberry (1)",Foraging level 6,FALSE,,,,
,,,,,,,,Wild Seeds (Sp),"-Wild horseradish (1)
-Daffodil (1)
-Leek (1)
-Dandelion (1)",Foraging level 1,FALSE,,,,
,,,,,,,,Wild Seeds (Su),"-Spice berry (1)
-Grape (1)
-Sweet pea (1)",Foraging level 4,FALSE,,,,
,,,,,,,,Wild Seeds (Wi),"-Winter root (1)
-Crystal fruit (1)
-Snow yam (1)
-Crocus (1)",Foraging level 7,FALSE,,,,
,,,,,,,,Wood fence,-wood (2),-,FALSE,,,,
,,,,,,,,Wood floor,-Wood (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Wood Lamp-post,"-Wood (50)
-Battery pack (1)",Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Wood path,-Wood (1),-,FALSE,,,,
,,,,,,,,Wooden brazier,"-Wood (10)
-Coal (1)
-Fiber (5)",Carpenter's shop 250g,FALSE,,,,
,,,,,,,,Worm bin,"-Hardwood (25)
-Gold bar (1)
-Iron bar (1)
-Fiber (50)",Fishing level 8,FALSE,,,,
