Name,Sell Price,Ingredient,Ingredient,Ingredient,Ingredient,Energy,Health,Stat Bonus,Source
Roots Platter,100G,Cave Carrot,Winter Root,-,-,125,50,Comat+3,
Algae Soup,100G,Green Algae (4),-,-,-,75,30,,Clint - Mail
Pale Broth,150G,White Algae (2),-,-,-,125,50,,
Plum Pudding,260G,Wild Plum (2),Wheat Flour,Sugar,-,175,70,,Cooking Channel
Artichoke Dip,210G,Artichoke,Milk,-,-,100,40,,Cooking Channel
Stir Fry,335G,Cave Carrot  ,Common Mushroom,Kale,Oil,200,80,,Cooking Channel
Roasted Hazelnuts,270G,Hazelnut (3),-,-,-,175,70,,Cooking Channel
Pumpkin Pie,385G,Pumpkin,Wheat Flour,Milk,Sugar,225,90,,Cooking Channel
Radish Salad,300G,Oil,Vinegar,Radish,-,200,80,,Cooking Channel
Fruit Salad,480G,Blueberry,Melon,Apricot,0,263,105,,Cooking Channel
Blackberry Cobbler,260G,Blackberry (2),Sugar,Wheat Flour,-,175,70,,Cooking Channel
Cranberry Candy,230G,Cranberry,Apple,Sugar,-,125,50,,Cooking Channel
Bruschetta,210G,Bread,Oil,Tomato,-,113,45,,Cooking Channel
Coleslaw,345G,Red Cabbage,Vinegar,Mayonnaise,-,213,85,,Cooking Channel
Fiddlehead Risotto,350G,Oil,Fiddlehead Fern,Garlic,-,225,90,,Cooking Channel
Poppyseed Muffin,250G,Poppy,Wheat Flour,Sugar,-,150,60,,Cooking Channel
Chowder,135G,Clam,Milk,-,-,225,90,Fishing+1,Willy - Mail
Lobster Bisque,175G,Lobster,Milk,-,-,225,90,Fishing+3,
Escargot,125G,Snail,Garlic,-,-,225,90,Fishing+2,
Fish Stew,175G,Crayfish,Mussel,Periwinkle,Tomato,225,90,Fishing+3,
Maple Bar,300G,Maple Syrup,Sugar,Wheat Flour,-,225,90,,Cooking Channel
Crab Cakes,275G,Crab,Wheat Flour,Egg,Oil,225,90,,Cooking Channel
