,Name,Birthday,Loves,Marriage Candidate,Family,Friends,Likes,Dislikes
23,Lewis,Spring 7,-Prismatic shard -Rabbit's foot -Autumn's bounty -Glazed yams -Hot pepper -Vegetable medley,No,,Marnie,Blueberry Cactus Fruit Coconut ,
24,Linus,Winter 3,-Prismatic shard -Rabbit's foot -Blueberry Tart -Coconut -Cactus fruit -Dish o' the sea -Yam,No,,Wizard,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Wild Horseradish Daffodil Leek Dandelion Spring Onion Morel Common Mushroom Salmonberry Spice Berry Grape Wild Plum Hazelnut Blackberry Chanterelle Winter Root Crystal Fruit Snow Yam Purple Mushroom Holly ,
25,Marnie,Fall 18,-Prismatic shard -Rabbit's foot -Diamond -Farmer's lunch -Pink cake -Pumpkin pie,No,"Shane, Jas",Lewis,,
26,Pam,Spring 18,-Prismatic shard -Rabbit's foot -Beer -Cactus fruit -Glazed yams -Mead -Pale ale -Parsnip -Parsnip soup,No,Penny,Gus,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Daffodil Salmonberry Spice Berry Grape Blackberry Crystal Fruit Coconut ,
27,Pierre,Spring 26,-Prismatic shard -Rabbit's foot -Fried calamari,No,"Caroline, Abigail",,Daffodil Dandelion ,Garlic Purple Mushroom 
28,Robin,Fall 21,-Prismatic shard -Rabbit's foot -Goat cheese -Peach -Spaghetti,No,"Demetrius, Maru, Sebastian",,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Salmonberry Spice Berry Grape Blackberry Crystal Fruit Cactus Fruit Coconut ,
29,Sandy,Fall 15,-Prismatic shard -Rabbit's foot -Daffodil -Crocus -Sweet pea,No,,Emily,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Salmonberry Spice Berry Grape Blackberry Crystal Fruit Cactus Fruit Coconut ,
30,Vincent,Spring 10,-Prismatic shard -Rabbit's foot -Cranberry candy -Grape -Pink cake,No,"Kent, Jodi, Sam",Jas,Daffodil Coconut ,Amaranth Artichoke Beet Bok Choy Cauliflower Corn Eggplant Garlic Green Bean Kale Parsnip Potato Pumpkin Radish Red Cabbage Tomato Yam Fiddlehead Fern Purple Mushroom Cactus Fruit 
31,Willy,Summer 24,-Prismatic shard -Rabbit's foot -Catfish -Diamond -Iridium bar -Mead -Octopus -Pumpkin -Sea cucumber -Sturgeon,No,,Elliott,Lingcod Tiger Trout ,Purple Mushroom 
32,Wizard,Winter 17,-Prismatic shard -Rabbit's foot -Purple mushroom -Solar essence -Super cucumber -Void essence,No,,Linus,,
